Date,AFX.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BOSS.DE,BVB.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DEZ.DE,DHL.DE,DTE.DE,DTG.DE,DUE.DE,ENR.DE,EOAN.DE,EVD.DE,EVT.DE,FPE.DE,FRA.DE,FRE.DE,G1A.DE,GXI.DE,HAG.DE,HEI.DE,HNR1.DE,HOT.DE,IFX.DE,KCO.DE,KGX.DE,KRN.DE,LEG.DE,LHA.DE,MBG.DE,MTX.DE,MUV2.DE,NDX1.DE,NEM.DE,PAT.DE,PBB.DE,PFV.DE,PUM.DE,QIA.DE,RHK.DE,RHM.DE,RRTL.DE,RWE.DE,S92.DE,SANT.DE,SAP.DE,SDF.DE,SGL.DE,SHL.DE,SIE.DE,SIX2.DE,STM.DE,SY1.DE,SZG.DE,SZU.DE,TEG.DE,TKA.DE,TLX.DE,TTK.DE,UTDI.DE,VNA.DE,VOW3.DE,WAF.DE,WCH.DE,WSU.DE,ZAL.DE,Market,RF
2015-01-02,19.292951583862305,35.40000915527344,80.5192642211914,39.671356201171875,81.96503448486328,61.64240646362305,50.7365608215332,74.48558807373047,3.5847346782684326,10.173262596130371,114.87177276611328,46.32955551147461,18.93925666809082,3.4995739459991455,24.55194854736328,8.845659255981445,,28.241056442260742,,7.9383978843688965,20.322237014770508,3.7699999809265137,22.52777671813965,43.86151885986328,35.832550048828125,27.8131046295166,39.2546501159668,,44.4115104675293,48.78444290161133,38.644004821777344,7.813042163848877,6.5367937088012695,26.83518409729004,68.69456481933594,45.786956787109375,8.203804016113281,29.498859405517578,63.180599212646484,104.16178131103516,13.628890991210938,6.717514514923096,7.607821464538574,,51.84138107299805,15.448335647583008,19.187387466430664,20.59345817565918,29.793607711791992,38.5659065246582,18.69854164123535,14.719738006591797,2.529534339904785,49.115638732910156,17.563926696777344,12.684020042419434,,58.70269012451172,23.178903579711914,,43.903785705566406,20.1832218170166,8.911075592041016,6.5274248123168945,18.74953269958496,16.22652816772461,8.279229164123535,31.895782470703125,12.807732582092285,103.25718688964844,,63.702003479003906,7.973649978637695,25.5,9764.73046875,0.0
2015-01-05,19.130064010620117,35.52768325805664,78.54602813720703,37.9749755859375,79.20868682861328,60.650108337402344,49.04745101928711,72.52122497558594,3.5207865238189697,9.842019081115723,112.96560668945312,46.23572540283203,18.166837692260742,3.3898775577545166,23.689998626708984,8.573949813842773,,27.634660720825195,,7.5280351638793945,20.623661041259766,3.6549999713897705,22.441062927246094,42.88286209106445,35.72724914550781,27.345857620239258,37.80046081542969,,43.39887237548828,48.1580810546875,37.51922607421875,7.647799968719482,6.311435222625732,26.542299270629883,67.8892822265625,45.36042022705078,8.177499771118164,28.391849517822266,63.24214553833008,101.9502944946289,13.183330535888672,6.602705001831055,8.007110595703125,,51.52067184448242,15.021805763244629,19.25660514831543,20.308181762695312,28.750764846801758,38.2230224609375,17.850263595581055,14.367660522460938,2.563727855682373,47.49699401855469,17.35091209411621,12.040759086608887,,56.930843353271484,22.063671112060547,,43.890541076660156,19.089529037475586,8.79226016998291,6.356525421142578,18.24158477783203,15.864870071411133,8.445162773132324,31.442615509033203,12.595250129699707,99.74928283691406,,60.68693923950195,7.850794792175293,24.700000762939453,9473.16015625,0.0
2015-01-06,19.392492294311523,36.21712875366211,78.63439178466797,37.96358871459961,80.11538696289062,60.85225296020508,49.47981643676758,72.94477844238281,3.4714550971984863,9.755804061889648,112.26331329345703,46.016788482666016,17.934362411499023,3.317295551300049,23.826095581054688,8.473316192626953,,27.802471160888672,,7.508223533630371,20.095073699951172,3.7119998931884766,22.329057693481445,42.891761779785156,36.08949279785156,27.039457321166992,38.37868881225586,,43.360801696777344,48.484310150146484,37.53895568847656,7.453551292419434,6.4093546867370605,26.56352424621582,67.78755950927734,45.316287994384766,8.20088005065918,28.580642700195312,64.16532135009766,101.5395736694336,13.38863754272461,6.558014869689941,7.946149826049805,,50.428714752197266,14.808544158935547,18.5150146484375,20.165544509887695,28.829710006713867,37.84040451049805,17.697349548339844,13.673151016235352,2.562173366546631,46.426334381103516,17.714975357055664,12.217429161071777,,56.880760192871094,22.484580993652344,,44.217411041259766,19.481685638427734,8.342992782592773,6.4137139320373535,18.540117263793945,15.77845573425293,8.384028434753418,31.010616302490234,12.450581550598145,100.37165069580078,,60.6308479309082,7.856786727905273,23.6299991607666,9469.66015625,0.0
2015-01-07,19.1707820892334,37.140647888183594,79.37065887451172,38.21406555175781,80.11538696289062,61.41271209716797,49.74501037597656,73.09810638427734,3.474195718765259,9.737654685974121,112.69805145263672,47.14277648925781,18.03185272216797,3.248838424682617,23.871461868286133,8.714836120605469,,27.50118064880371,,7.51105260848999,20.156230926513672,3.693000078201294,22.910770416259766,43.4922981262207,35.840972900390625,26.859447479248047,38.91376876831055,,43.84809112548828,48.51694107055664,37.67708969116211,7.564298152923584,6.426634311676025,27.047426223754883,67.09248352050781,45.39718246459961,8.341166496276855,28.80376434326172,65.41381072998047,101.3816146850586,13.270695686340332,6.477879524230957,7.912622451782227,,51.20759201049805,14.839641571044922,18.737489700317383,20.094226837158203,28.750764846801758,38.55099868774414,17.551725387573242,13.673151016235352,2.603361129760742,46.25772476196289,17.96671485900879,12.113239288330078,,57.24388885498047,22.945066452026367,,44.82700729370117,19.969707489013672,8.339279174804688,6.552028179168701,18.361886978149414,15.864870071411133,8.35491943359375,31.17155647277832,12.504831314086914,100.99402618408203,,60.93937683105469,8.150443077087402,21.950000762939453,9518.1796875,0.0
2015-01-08,19.415115356445312,38.49825668334961,81.4616928100586,39.77381896972656,84.46751403808594,63.333011627197266,51.5321044921875,74.48558807373047,3.5555012226104736,9.887395858764648,116.47695922851562,48.47987747192383,18.361818313598633,3.3973004817962646,24.393169403076172,9.144204139709473,,28.33639907836914,,7.663877487182617,20.3571834564209,3.8380000591278076,22.61810874938965,44.266326904296875,36.90664291381836,27.7211856842041,39.8458251953125,,45.27187728881836,49.03238296508789,38.50587463378906,7.8121657371521,6.561992645263672,27.416711807250977,68.63524627685547,46.250267028808594,8.259332656860352,30.06524085998535,66.24906158447266,103.87743377685547,13.724991798400879,6.838488578796387,8.083311080932617,,52.52863311767578,14.990708351135254,19.429641723632812,20.357213973999023,29.843460083007812,39.21686935424805,17.93035316467285,13.803372383117676,2.681072950363159,47.269378662109375,18.68708610534668,12.520938873291016,,59.11591339111328,23.58902359008789,,45.88716506958008,19.95228385925293,8.940778732299805,6.689679145812988,19.016876220703125,16.316139221191406,8.151140213012695,31.900022506713867,12.599769592285156,104.02103424072266,,61.02350616455078,8.180407524108887,22.549999237060547,9837.6103515625,0.0
2015-01-09,19.645872116088867,37.96202087402344,80.01859283447266,38.77762985229492,82.07384490966797,62.60715103149414,50.823036193847656,73.64579772949219,3.539971113204956,9.63782787322998,114.53736114501953,48.1671028137207,17.930614471435547,3.3502871990203857,24.012094497680664,8.902684211730957,,27.573646545410156,,7.3836989402771,20.282917022705078,3.809999942779541,22.278474807739258,43.7147216796875,36.69182205200195,27.525856018066406,39.880348205566406,,44.67038345336914,49.228118896484375,38.23618698120117,7.711963653564453,6.4619140625,27.45915985107422,68.36397552490234,46.654747009277344,8.218416213989258,29.786352157592773,66.08201599121094,101.98187255859375,13.576472282409668,6.703645706176758,7.933958530426025,,53.391510009765625,15.155095100402832,19.207164764404297,20.165544509887695,29.415529251098633,39.55478286743164,17.271390914916992,13.644214630126953,2.623566150665283,45.97108840942383,18.40048599243164,12.009049415588379,,57.90755081176758,23.21128273010254,,45.94901657104492,19.756202697753906,8.61032772064209,6.6730546951293945,18.642597198486328,16.255329132080078,8.151140213012695,32.920719146728516,12.457361221313477,102.35192108154297,,59.8525390625,8.180407524108887,22.5,9648.5,0.0
2015-01-12,19.7906551361084,38.40462875366211,80.46036529541016,39.17041015625,83.63333892822266,64.20585632324219,51.10552215576172,74.48558807373047,3.5427117347717285,9.528924942016602,117.74776458740234,48.47987747192383,17.930614471435547,3.3816287517547607,24.148193359375,9.127431869506836,,28.40886116027832,,7.395019054412842,20.990612030029297,3.8389999866485596,22.538618087768555,44.46650695800781,37.9049186706543,27.8858699798584,39.358219146728516,,45.348018646240234,49.20203399658203,39.16365051269531,7.785796642303467,6.3409552574157715,26.818206787109375,70.06777954101562,46.58120346069336,8.3587007522583,30.464277267456055,66.1171875,103.02444458007812,13.733728408813477,6.714433193206787,8.086359024047852,,56.7743034362793,15.195080757141113,19.207164764404297,20.406246185302734,29.145469665527344,39.435516357421875,16.819948196411133,13.567045211791992,2.6476573944091797,48.09556198120117,18.721942901611328,11.959218978881836,,58.50234603881836,22.93427276611328,,46.646942138671875,19.233320236206055,8.287299156188965,6.8924970626831055,18.66042137145996,16.268131256103516,8.130762100219727,33.018123626708984,12.500309944152832,102.83285522460938,,59.5159797668457,8.210373878479004,23.09000015258789,9781.900390625,0.0
2015-01-13,20.080230712890625,38.749351501464844,82.0801773071289,40.43415451049805,85.88195037841797,64.362060546875,52.2469482421875,76.49378204345703,3.5344903469085693,10.018983840942383,122.46299743652344,49.02722930908203,18.500553131103516,3.42451810836792,24.674434661865234,9.295153617858887,,28.34783935546875,,7.236534595489502,21.12603759765625,3.7980000972747803,22.97941780090332,45.22273635864258,38.65888977050781,27.782468795776367,40.346378326416016,,46.36827087402344,49.13025665283203,39.49911117553711,7.871934413909912,6.287676811218262,26.869142532348633,69.8134765625,46.6620979309082,8.6363525390625,31.009206771850586,68.48226928710938,104.25658416748047,13.655099868774414,6.7421722412109375,8.168654441833496,,57.04155731201172,15.235069274902344,19.765827178955078,20.397329330444336,29.498619079589844,40.071563720703125,16.583303451538086,13.731025695800781,2.67718768119812,48.45806884765625,18.582515716552734,12.040759086608887,,58.7590446472168,23.160917282104492,,46.50559616088867,19.29431915283203,7.797189712524414,7.005544185638428,18.26831817626953,16.22652816772461,8.20936393737793,33.174835205078125,12.4324951171875,105.12430572509766,,60.09093475341797,8.150443077087402,24.3700008392334,9941.0,0.0
2015-01-14,19.93544578552246,38.38759994506836,81.22608184814453,40.02998352050781,84.75765991210938,64.34368133544922,51.18045425415039,76.23819732666016,3.5171327590942383,9.606064796447754,120.45651245117188,48.190555572509766,18.140592575073242,3.276881456375122,24.38863182067871,9.221356391906738,,28.195289611816406,,7.123331546783447,20.916351318359375,3.7699999809265137,22.784311294555664,44.92914581298828,38.88634490966797,27.158187866210938,40.42837142944336,,46.3302001953125,49.41081237792969,38.83476257324219,7.902697563171387,6.0047197341918945,26.007463455200195,69.4320297241211,45.97816467285156,8.522368431091309,30.593000411987305,68.7812271118164,103.5299301147461,13.611417770385742,6.63969087600708,8.12903118133545,,55.69760513305664,14.937386512756348,19.558183670043945,20.272523880004883,29.228557586669922,39.70384979248047,16.091814041137695,14.14098072052002,2.615017890930176,47.60660171508789,18.43921661376953,11.533397674560547,,58.064083099365234,23.85523796081543,,46.09919738769531,18.549219131469727,7.615256309509277,6.915772438049316,17.230146408081055,16.19451904296875,8.261762619018555,32.73860549926758,12.50935173034668,103.85127258300781,,58.56938552856445,8.159433364868164,23.600000381469727,9817.080078125,0.0
2015-01-15,20.07570457458496,39.23451614379883,82.84588623046875,40.95786666870117,87.40520477294922,67.94538879394531,52.5005989074707,76.67633819580078,3.5034291744232178,9.710428237915039,123.8675537109375,49.34782028198242,18.560548782348633,3.3915271759033203,24.79692268371582,9.335408210754395,,28.48894691467285,,7.2931365966796875,21.405620574951172,3.746999979019165,23.08780860900879,45.81882858276367,39.76246643066406,27.866722106933594,41.079959869384766,,47.1296501159668,49.99149703979492,40.30158615112305,7.9818034172058105,6.20415735244751,26.97101593017578,70.15253448486328,46.147308349609375,8.58082103729248,31.29239845275879,70.16159057617188,106.31009674072266,13.76867389678955,6.819225311279297,8.095501899719238,,56.1405029296875,14.733009338378906,19.904258728027344,20.343843460083008,29.92240333557129,39.85292434692383,16.390352249145508,14.058988571166992,2.655428171157837,48.72783660888672,18.838132858276367,12.593420028686523,,59.25992202758789,23.927194595336914,,46.70878982543945,19.032878875732422,7.56327486038208,7.012193202972412,17.956418991088867,16.053699493408203,8.325807571411133,32.79365921020508,12.76478385925293,105.52035522460938,,59.081241607666016,8.207377433776855,23.600000381469727,10032.6103515625,0.0
