Stock,Alpha,Beta,Alpha_tstat,Beta_tstat,Beta_test_tstat,Beta_pvalue_not_one,Alpha_pvalue,Beta_pvalue,R_squared,N_observations
AFX.DE,-0.0322312405967697,1.0271718360080395,-2.2417649712667838,33.301381652258925,0.8809233755988938,0.3830401914401729,0.029952692481987394,2.3932466026765848e-33,0.9610045917336104,47
AIR.DE,0.008068148703937333,1.0271601976819673,0.9534448774472809,56.58039442279483,1.4961003170827665,0.14160859826908534,0.34545840529900096,1.8481445850082204e-43,0.9861382400856777,47
ALV.DE,0.008223583714922846,0.9858280957419154,1.332714070169727,74.47030781306958,-1.0705579166950459,0.29007684316956195,0.1893346765895994,8.988184312478319e-49,0.9919511009648045,47
BAS.DE,-0.008167324472184304,1.0128036782493117,-0.9822078347222359,56.77471294088651,0.7177355027468665,0.4766300609267651,0.33124899856927836,1.5872231137674014e-43,0.9862316606962381,47
BAYN.DE,-0.014292767440782662,0.986665101704565,-1.0934115398903639,35.18383586842967,-0.47551380112486313,0.6367210252140478,0.280031938104606,2.2042733664534878e-34,0.9649232838892511,47
BEI.DE,-0.00775354862314869,0.9972458912846277,-0.921794750786511,55.26396799160416,-0.15262331709952537,0.879377627530364,0.36155152070939356,5.253185507632284e-43,0.9854796842369318,47
BMW.DE,-0.0013308014183052179,1.0129265573482649,-0.15246672667913877,54.09359834468482,0.6903205332152816,0.4935379049838815,0.8795004078431832,1.357310247043408e-42,0.9848541830509621,47
BOSS.DE,-0.009380279820601049,1.0240670960347444,-0.6485180673256319,33.00204033865446,0.7755969088825788,0.442044130882691,0.5199457924957414,3.537197221114267e-33,0.9603221721999646,47
BVB.DE,-0.01164368366364092,1.0102417036985494,-1.1577359521577308,46.82205894601572,0.4746761616804106,0.6373134145471018,0.25307988849949165,8.046512935384167e-40,0.9798865170828419,47
CBK.DE,0.03175395142986235,1.0230775853958582,2.2497021067422045,33.78639859944222,0.762120595766392,0.449964290799413,0.0294055219603613,1.2794994577501526e-33,0.9620739875418368,47
CON.DE,-0.009977704463968784,1.0116063386509881,-0.8973569403011796,42.40843291184162,0.4865594601640394,0.6289319588469884,0.37430450418028716,6.287806729426819e-38,0.9755895818731624,47
DB1.DE,0.001345730897307859,0.9907587129012513,0.1751110877578512,60.093765107780634,-0.5605236966118107,0.5779025314520747,0.8617778937350755,1.2718654847324628e-44,0.9876923433902483,47
DBK.DE,0.01867760073905663,1.0260980426083202,1.903001791039467,48.73186825305543,1.2394589222861976,0.22160093648039925,0.0634496401682605,1.3774829831859276e-40,0.9814033832171373,47
DEZ.DE,0.0027872259064524478,0.9972952135798976,0.20752704437667155,34.612451346571106,-0.09387319531255399,0.9256266194234353,0.8365345936732549,4.488401764517672e-34,0.9637978992592842,47
DHL.DE,-0.010336342238521297,1.000713006649676,-1.3527483087734167,61.04720099693091,0.04349604728397749,0.9654985505368952,0.18289424612460806,6.316180662793077e-45,0.9880692326507577,47
DTE.DE,0.005659697230278519,0.9729262548936366,0.7995197222026249,64.0651722606322,-1.782749859257564,0.08137378995892464,0.4281893976286275,7.377794673514994e-46,0.9891549182012424,47
DTG.DE,0.0001871038482171181,0.9890994299894135,0.017246772831551665,42.498261794161,-0.46836067635833645,0.6417874980122762,0.9863159911099293,5.729710652215175e-38,0.9756901598138693,47
DUE.DE,-0.018049333377366007,1.0042760771434123,-1.6703748804309275,43.32234873111702,0.18446093601571584,0.8544806598889907,0.10178747193273666,2.463545665959109e-38,0.9765847676369528,47
ENR.DE,0.03868159162651433,1.0840298358942053,1.9447352563418314,25.404080499875473,1.9692269020315518,0.055102789760810955,0.058072492271530225,2.540344007972462e-28,0.934817307242064,47
EOAN.DE,0.001633328805349768,1.0321758085868138,0.22757490006845116,67.03637291936694,2.0897113509770877,0.04232656153934089,0.8210075673641333,9.793508650030197e-47,0.9900856496194866,47
EVD.DE,0.0010404905822058127,1.0251427018419508,0.0931346984381261,42.772415403989974,1.0490384271675595,0.2997620260696663,0.926209978081481,4.3195314796872376e-38,0.9759933359996337,47
EVT.DE,-0.04138416942536211,0.9737678262954633,-2.0918601103690735,22.9435126424464,-0.6180715698099782,0.5396439015356695,0.042124412708228774,1.802981995666757e-26,0.9212467200562011,47
FPE.DE,-0.005006863041173594,1.0038258394656168,-0.7091269134679457,66.27087733109337,0.25257542488577156,0.8017465001106532,0.48190372488873845,1.6337510289831447e-46,0.9898576217042113,47
FRA.DE,-0.000959801043800073,1.0432176858393878,-0.08894788272515898,45.06459068025084,1.8669040497838445,0.06843816470358166,0.929518022874983,4.345121390668101e-39,0.9783217919608106,47
FRE.DE,0.0016229040771805286,0.975489569690201,0.15932046049750354,44.63827717342632,-1.1215941367330335,0.2679845347482843,0.8741293380615445,6.603648867407096e-39,0.9779149319290704,47
G1A.DE,-0.0019157033128508558,0.9923133189963026,-0.37130449113033537,89.65135652659418,-0.6944594675658511,0.4909641681151147,0.7121532493424294,2.2477461673745755e-52,0.9944323232182692,47
GXI.DE,-0.028015149459645006,0.9529252409025032,-1.9148991912807347,30.361127479612936,-1.4998477327324775,0.14063766379587683,0.06187499985244908,1.2883918688696072e-31,0.9534546025933607,47
HAG.DE,0.04444805369153626,1.1169589566527434,1.8597680249229716,21.784587241132833,2.281106731503377,0.027326706593354677,0.06946282012371288,1.5383116194938878e-25,0.9133896254122353,47
HEI.DE,0.024470102542580918,1.0152685286317291,3.016346133630365,58.33543007679549,0.8773010875971595,0.3849829456806071,0.004197805320469698,4.759995801555951e-44,0.986949040710784,47
