Stock,Alpha,Beta,Alpha_tstat,Beta_tstat,Beta_test_tstat,Beta_pvalue_not_one,Alpha_pvalue,Beta_pvalue,R_squared,N_observations
AFX.DE,-0.001035648802293981,1.0009885206760492,-1.9857634861416347,165.88077079774797,0.16381463753630043,0.8699003147539766,0.04725109589038161,0.0,0.9507954790556645,1426
AIR.DE,0.0003006753705456396,1.0116049522032626,1.0858754899411664,315.75123405931157,3.622242033709653,0.0003023178969501217,0.2777178664113751,0.0,0.9859181172669587,1426
ALV.DE,0.0002740767899356514,0.9956681925540881,1.5245306271042431,478.6636654830751,-2.0824998184467174,0.03747496284433005,0.1275982585325411,0.0,0.9938232755324262,1426
BAS.DE,-0.0002461323222307105,1.0010072631852633,-0.8243014137856366,289.73873417449505,0.29154949320758006,0.7706735602446613,0.40990635954827626,0.0,0.9833201624465278,1426
BAYN.DE,-0.0005000335773957313,0.9916751235948862,-1.2544655012313315,215.02101486104735,-1.8050501929819611,0.07127798512058114,0.20987872198138444,0.0,0.9701204645708864,1426
BEI.DE,-0.0002774721962693234,0.9842088377933909,-0.9283647975584414,284.60228801988944,-4.566308208093544,5.392038990859049e-06,0.353375702926059,0.0,0.9827231562917943,1426
BMW.DE,-5.742095513923211e-05,0.9999677762681712,-0.19011017389248086,286.1362533763955,-0.009220675019846825,0.9926443615659397,0.8492498939948354,0.0,0.9829047424811814,1426
BOSS.DE,-0.0003699052450881373,1.005892238297975,-0.9256656878092188,217.55399743645103,1.274371097386739,0.20273985242854264,0.35477658817724766,0.0,0.970791985447503,1426
BVB.DE,-0.00034417102915474784,0.9972338014860983,-0.7650100618180381,191.57629133998117,-0.531408032513268,0.5952189364960345,0.4443923145540831,0.0,0.9626496460719218,1426
CBK.DE,0.0010878591460960544,1.0103093046041576,2.229930972682316,178.9884632409654,1.826417493902174,0.06799667487842065,0.025907406166732847,0.0,0.9574428279619261,1426
CON.DE,-0.00031244359811114474,1.0121482484524362,-0.7232379564602033,202.49096125084665,2.4303855788014244,0.015205598494044015,0.4696524792181289,0.0,0.9664361425103623,1426
DB1.DE,7.018926846589927e-05,0.9887998356664996,0.2554902564199872,311.0741663504019,-3.523546078142989,0.00043928191509290393,0.7983813652830036,0.0,0.9854976727642292,1426
DBK.DE,0.0006518388440508951,1.007744230310729,1.6437746508484385,219.6363896471362,1.6878437354287354,0.09166020799120145,0.10044350308140143,0.0,0.971327402525489,1426
DEZ.DE,0.00012629639469760885,1.0046875287626071,0.2569654070224944,176.6715643212904,0.824289160143966,0.4099133180724288,0.7972426001678928,0.0,0.9563683270667209,1426
DHL.DE,-0.0002949671107705936,1.008937887007494,-1.0782327135574838,318.7537295356869,2.8237464907353025,0.004812688805447385,0.2811125260522552,0.0,0.986178506541858,1426
DTE.DE,0.00019318603952432997,0.9899761448280626,0.7222513631949048,319.88162601921937,-3.238913491130012,0.00122753052910074,0.47025853711445165,0.0,0.9862744678972944,1426
DTG.DE,5.253629114499081e-05,1.0079216539157834,0.1429119237632297,236.9669425653299,1.8624166880342707,0.06275019529190606,0.8863799597760456,0.0,0.975268044666505,1426
DUE.DE,-0.0005840420964057815,0.9983786029835025,-1.5620603410823755,230.78142684089218,-0.3747960100754016,0.707867990789393,0.1184959698351037,0.0,0.973959508156949,1426
ENR.DE,0.00122084381294057,1.0018939323767977,1.7970621074293684,127.46080615237003,0.2409458124694183,0.809631800443549,0.07253758657327226,0.0,0.9194126043816253,1426
EOAN.DE,7.301519067146582e-05,0.992247227030777,0.2405356843564525,282.51279329164277,-2.20737079189964,0.027447148644972774,0.8099496266926138,0.0,0.9824711447411758,1426
EVD.DE,4.426516703398492e-05,1.0051428329448449,0.11180541028455376,219.42213014542625,1.122677616308343,0.26176368826685037,0.910993454697836,0.0,0.971272988607888,1426
EVT.DE,-0.0012181637057249307,1.0031574014409097,-1.4934691862572702,106.29470395391529,0.3345587152555456,0.7380072611839281,0.13553594380504755,0.0,0.8880728766561828,1426
FPE.DE,-0.00017222526202561182,0.9947322678297955,-0.5917087268517949,295.3719572133119,-1.5641800427198533,0.1179974809346136,0.5541395745602027,0.0,0.9839401985518685,1426
FRA.DE,-9.252067332263993e-06,1.0142165942594081,-0.02492143045326608,236.1113303277428,3.309647073729555,0.000957487750382402,0.9801211252338797,0.0,0.9750929468209867,1426
FRE.DE,5.436563250188668e-05,0.9965721600583942,0.16444602349353307,260.53112574046264,-0.8961307917655927,0.3703343736492959,0.8694033735632629,0.0,0.9794517980644311,1426
G1A.DE,-4.9042978047641854e-05,0.9985680316886328,-0.18728077110778688,329.568691280664,-0.4726086829903764,0.6365648097406651,0.8514671782818026,0.0,0.9870591950001901,1426
GXI.DE,-0.0008786197633856836,0.9946710292081602,-1.5758185007598149,154.18304917705098,-0.8260389028475026,0.4089203965982371,0.11528975767645801,0.0,0.9434840181584208,1426
HAG.DE,0.0013702395111325322,0.9907922282124453,1.8573641682590092,116.07404047219606,-1.0787158444466558,0.2808971045774211,0.0634656842052821,0.0,0.9044114573688723,1426
HEI.DE,0.0008073214459193555,1.0051286375519919,2.581686974210505,277.79899822222836,1.417460731850406,0.156567027710651,0.009931040941342636,0.0,0.981882094952094,1426
HNR1.DE,0.0001669226165948922,0.9989069345084741,0.5900326562867527,305.1671821065421,-0.3339327262464062,0.7384794924088243,0.5552623681433808,0.0,0.9849393463429335,1426
HOT.DE,0.0009071711015334873,1.0028557552888757,2.618907307063011,250.21960017857418,0.7125311320415143,0.47625267091957557,0.008914832567896549,0.0,0.9777617613574036,1426
